sno,date,to_days,hour,lent,returned,weekday,workingday,temperature,humidity,wind_speed,precipitation,station_pres
45,2017/7/1,1,0,17,10,5,0,27.9,78,1,0,1004.3
45,2017/7/1,1,1,6,13,5,0,27.1,79,1.4,0,1005.1
45,2017/7/1,1,2,4,2,5,0,26.9,81,1.4,0,1004.8
45,2017/7/1,1,3,3,1,5,0,26.9,79,0.4,0,1004.1
45,2017/7/1,1,4,4,1,5,0,26.8,79,2,0,1004
45,2017/7/1,1,5,2,4,5,0,26.5,80,0.9,0,1004.3
45,2017/7/1,1,6,13,5,5,0,26.5,79,0.7,0,1004.7
45,2017/7/1,1,7,32,27,5,0,27.6,78,0.2,0,1005
45,2017/7/1,1,8,57,40,5,0,29,68,1.3,0,1005.1
45,2017/7/1,1,9,50,42,5,0,30.6,59,1,0,1004.9
45,2017/7/1,1,10,40,52,5,0,32,52,1.5,0,1004.3
45,2017/7/1,1,11,33,52,5,0,33.3,47,1.3,0,1003.7
45,2017/7/1,1,12,60,55,5,0,33.2,48,2.1,0,1003.4
45,2017/7/1,1,13,71,68,5,0,33.4,54,2.8,0,1003.1
45,2017/7/1,1,14,64,66,5,0,32.5,57,3.9,0,1002.8
45,2017/7/1,1,15,5,23,5,0,30.9,63,1.9,0,1002.9
45,2017/7/1,1,16,17,15,5,0,26.5,93,1.7,26.5,1003.7
45,2017/7/1,1,17,7,28,5,0,26,93,2.2,2,1003.9
45,2017/7/1,1,18,15,18,5,0,26.2,87,1.7,1,1005.1
45,2017/7/1,1,19,14,16,5,0,25.7,92,2.6,1,1006.5
45,2017/7/1,1,20,33,10,5,0,25.4,92,0.8,1.5,1007
45,2017/7/1,1,21,72,48,5,0,25.9,90,1.4,0.5,1005.3
45,2017/7/1,1,22,27,20,5,0,26.4,86,2.2,0,1004.4
45,2017/7/1,1,23,21,23,5,0,26.3,86,1.5,0,1004.7
45,2017/7/2,2,0,33,16,6,0,26.9,77,1.6,0,1005.5
45,2017/7/2,2,1,3,4,6,0,26.1,83,2.2,0,1004.7
45,2017/7/2,2,2,4,2,6,0,26.1,82,1.4,0,1004.3
45,2017/7/2,2,3,4,2,6,0,25.6,83,1.6,0,1004.1
45,2017/7/2,2,4,0,1,6,0,25.3,83,2.6,0,1004.3
45,2017/7/2,2,5,5,4,6,0,25.7,82,2.3,0,1004.8
45,2017/7/2,2,6,13,12,6,0,25.9,80,1.8,0,1005.2
45,2017/7/2,2,7,37,23,6,0,27.6,73,1.6,0,1005.4
45,2017/7/2,2,8,51,49,6,0,28.5,67,1.6,0,1005.2
45,2017/7/2,2,9,40,47,6,0,30.5,60,1,0,1004.9
45,2017/7/2,2,10,25,47,6,0,31.9,58,0.8,0,1004.6
45,2017/7/2,2,11,42,49,6,0,31.8,57,1.9,0,1004.2
45,2017/7/2,2,12,64,76,6,0,32.8,52,1.5,0,1003.6
45,2017/7/2,2,13,74,79,6,0,32.5,56,4.1,0,1003.4
45,2017/7/2,2,14,70,58,6,0,32.1,54,3.3,0,1003.2
45,2017/7/2,2,15,62,51,6,0,31.9,57,2.4,0,1002.7
45,2017/7/2,2,16,84,73,6,0,31.2,58,3.6,0,1002.8
45,2017/7/2,2,17,104,126,6,0,30.8,60,2.1,0,1003
45,2017/7/2,2,18,113,107,6,0,29.8,70,2,0,1003.7
45,2017/7/2,2,19,97,73,6,0,29.3,72,1.3,0,1004
45,2017/7/2,2,20,90,60,6,0,29.2,73,1.3,0,1004.5
45,2017/7/2,2,21,86,44,6,0,28.6,76,2.6,0,1005.2
45,2017/7/2,2,22,47,40,6,0,27.9,75,1.2,0,1005.4
45,2017/7/2,2,23,25,29,6,0,28.1,77,0.2,0,1004.9
45,2017/7/3,3,0,18,5,0,1,26.6,76,2.1,0,1006.8
45,2017/7/3,3,1,2,8,0,1,27.3,76,1.4,0,1003.6
45,2017/7/3,3,2,1,1,0,1,27.1,76,1.9,0,1003.2
45,2017/7/3,3,3,4,0,0,1,27.4,78,1.7,0,1002.8
45,2017/7/3,3,4,0,0,0,1,27,81,1.5,0,1003
45,2017/7/3,3,5,5,2,0,1,27.4,77,1.1,0,1002.9
45,2017/7/3,3,6,19,21,0,1,27,78,1.3,0,1003.3
45,2017/7/3,3,7,52,39,0,1,28.2,72,0.6,0,1003.6
45,2017/7/3,3,8,96,64,0,1,29.8,62,3.7,0,1003.6
45,2017/7/3,3,9,35,32,0,1,31.4,57,2,0,1003.9
45,2017/7/3,3,10,32,30,0,1,31.7,56,2.1,0,1004.2
45,2017/7/3,3,11,60,63,0,1,32.9,50,2.5,0,1004.2
45,2017/7/3,3,12,78,84,0,1,32.9,52,2.7,0,1003.6
45,2017/7/3,3,13,94,73,0,1,32.5,58,2.9,0,1003.2
45,2017/7/3,3,14,10,11,0,1,31.7,62,1.8,0,1003.2
45,2017/7/3,3,15,22,19,0,1,24.2,94,1.9,36,1004.7
45,2017/7/3,3,16,64,68,0,1,25.8,86,0.8,0,1003.6
45,2017/7/3,3,17,111,143,0,1,27.1,77,1.4,0,1002.9
45,2017/7/3,3,18,100,145,0,1,27.8,75,1.7,0,1003.6
45,2017/7/3,3,19,117,97,0,1,28,76,1.4,0,1004.3
45,2017/7/3,3,20,88,78,0,1,27.9,78,1.5,0,1005
45,2017/7/3,3,21,107,79,0,1,27.4,80,1.5,0,1005.8
45,2017/7/3,3,22,65,34,0,1,27.7,78,1,0,1005.9
45,2017/7/3,3,23,26,26,0,1,27.3,78,1.8,0,1005.8
45,2017/7/4,4,0,20,18,1,1,28.4,71,0.9,0,1008.2
45,2017/7/4,4,1,2,3,1,1,26.7,78,1.1,0,1005.3
45,2017/7/4,4,2,1,3,1,1,26.4,79,1.7,0,1005.1
45,2017/7/4,4,3,3,0,1,1,26.3,79,0.9,0,1004.8
45,2017/7/4,4,4,2,0,1,1,26.1,80,0.9,0,1004.8
45,2017/7/4,4,5,7,4,1,1,26,80,1.2,0,1005.2
45,2017/7/4,4,6,11,17,1,1,26.2,78,2.5,0,1005.9
45,2017/7/4,4,7,64,46,1,1,27.1,77,2.3,0,1006.8
45,2017/7/4,4,8,86,68,1,1,28.4,74,0.8,0,1006.9
45,2017/7/4,4,9,52,48,1,1,30.8,66,1.2,0,1007
45,2017/7/4,4,10,50,34,1,1,31.6,60,1.6,0,1006.8
45,2017/7/4,4,11,51,40,1,1,32.8,55,0.7,0,1006.5
45,2017/7/4,4,12,70,72,1,1,32.4,55,1.6,0,1005.9
45,2017/7/4,4,13,62,53,1,1,32.4,60,2.8,0,1005.5
45,2017/7/4,4,14,51,67,1,1,32.3,59,3.2,0,1005
45,2017/7/4,4,15,47,50,1,1,31.3,62,3.3,0,1004.7
45,2017/7/4,4,16,11,4,1,1,30.1,69,2.9,0,1005.7
45,2017/7/4,4,17,12,39,1,1,26.5,88,2.2,2,1005.9
45,2017/7/4,4,18,63,64,1,1,26.4,89,0.8,2,1005.9
45,2017/7/4,4,19,64,69,1,1,26.3,83,0.8,0,1006.6
45,2017/7/4,4,20,82,52,1,1,26.5,84,1.5,0,1006.8
45,2017/7/4,4,21,88,74,1,1,26.2,80,3.1,0,1007.1
45,2017/7/4,4,22,62,48,1,1,26.5,78,1.3,0,1007.4
45,2017/7/4,4,23,27,25,1,1,26.6,76,2.1,0,1007
45,2017/7/5,5,0,11,10,2,1,28.1,72,0.4,0,1006.8
45,2017/7/5,5,1,3,2,2,1,26.3,74,1.5,0,1006.6
45,2017/7/5,5,2,4,0,2,1,26.1,76,1.6,0,1006.4
45,2017/7/5,5,3,1,2,2,1,26.1,77,1.1,0,1006.8
45,2017/7/5,5,4,0,1,2,1,26.1,80,0.6,0,1007
45,2017/7/5,5,5,4,2,2,1,25.8,78,0.5,0,1007.4
45,2017/7/5,5,6,18,25,2,1,25.7,79,1.4,0,1007.8
45,2017/7/5,5,7,68,36,2,1,26.4,76,1.1,0,1008.2
45,2017/7/5,5,8,71,59,2,1,27.9,71,1.1,0,1008.4
45,2017/7/5,5,9,53,50,2,1,29.6,66,1.6,0,1008.3
45,2017/7/5,5,10,30,26,2,1,31.4,54,2,0,1007.7
45,2017/7/5,5,11,59,51,2,1,32.8,55,3.1,0,1007.7
45,2017/7/5,5,12,69,67,2,1,33.4,52,2.8,0,1007.4
45,2017/7/5,5,13,81,80,2,1,33.7,48,3.7,0,1007.2
45,2017/7/5,5,14,60,71,2,1,34,46,2.3,0,1006.6
45,2017/7/5,5,15,67,77,2,1,33.6,49,2,0,1006.4
45,2017/7/5,5,16,73,76,2,1,30.8,62,1.3,0,1006.2
45,2017/7/5,5,17,125,136,2,1,30.3,61,2.3,0,1005.9
45,2017/7/5,5,18,115,134,2,1,30.2,61,1.2,0,1006.2
45,2017/7/5,5,19,110,87,2,1,30.1,62,0.3,0,1006.6
45,2017/7/5,5,20,73,59,2,1,29.8,66,1.7,0,1007
45,2017/7/5,5,21,86,72,2,1,29.2,68,0.6,0,1007.6
45,2017/7/5,5,22,67,55,2,1,28.8,69,1.5,0,1008.3
45,2017/7/5,5,23,25,19,2,1,28.6,71,0.7,0,1008.2
