hour,workingday,temperature,precipitation
0,1,29.5,0
1,1,28.2,0
2,1,28.1,0
3,1,27.8,0
4,1,27.6,0
6,1,27.1,0
7,1,28.7,0
8,1,30.8,0
9,1,32,0
10,1,33.1,0
11,1,34.9,0
13,1,33.6,0
15,1,33.9,0
16,1,33.7,0
17,1,33.4,0
18,1,32.2,0
19,1,31.5,0
20,1,31.2,0
21,1,31.1,0
22,1,31,0
23,1,30.8,0
0,0,28.8,0
1,0,29.8,0
2,0,29.1,0
3,0,28.3,0
4,0,27.7,0
5,0,27.4,0
6,0,27.6,0
7,0,28.5,0
8,0,31,0
9,0,33.1,0
10,0,33.1,0
11,0,33.7,0
12,0,33.8,0
13,0,32.6,0
14,0,32.5,0
15,0,32.8,0
16,0,32.8,0
17,0,32.4,0
18,0,32,0
19,0,31.8,0
20,0,31.6,0
21,0,31.6,0
22,0,31.1,0
23,0,30.1,0
